,Local de instalação,Latitude,Longitude
0,S-E-ADO,-26.888486,-51.529092
1,S-E-AGL,-20.44530532,-52.87261294
2,S-E-ANG,-27.6825,-48.98444
3,S-E-ASE,-25.70925219,-49.58677159
4,S-E-BFA,-27.94315712,-52.58346462
5,S-E-BRA,-24.14019,-52.861966
6,S-E-BRU,-27.07686333,-48.77308647
7,S-E-BVI,-26.29196146,-48.82761464
8,S-E-BVS,-26.18919848,-50.01398437
9,S-E-CAA,-22.628018,-54.811797
10,S-E-CCA,-28.59046752,-52.03429781
11,S-E-CGA,-21.272363,-55.47912
12,S-E-CMCAP,-28.454167,-48.9725
13,S-E-CMCBA,-25.59451833,-49.31938142
14,S-E-CMLAR,-25.34002883,-52.4179034
15,S-E-CTE,-26.03020974,-49.68914387
16,S-E-EMP,-25.71264889,-52.81633606
17,S-E-FXL,-25.90674771,-51.57862983
18,S-E-GAC,-20.68006046,-52.22778999
19,S-E-GAR,-28.0195334,-48.63597524
20,S-E-GAV,-26.056362,-48.801983
21,S-E-GPE,-28.84751679,-51.94780127
22,S-E-IMR,-28.44550932,-48.86392475
23,S-E-ITQ,-23.45590703,-54.19819582
24,S-E-LSU,-25.34002883,-52.4179034
25,S-E-MAR,-21.621731,-55.156776
26,S-E-MCA,-26.77856893,-49.03092698
27,S-E-MCR,-27.59202406,-48.53360879
28,S-E-MPO,-30.08580126,-51.17860141
29,S-E-MSO,-26.284648,-51.15049
30,S-E-NAV,-23.0530327,-54.18340981
31,S-E-NES,-25.68583333,-50.95555556
32,S-E-NVE,-27.39580655,-52.15155498
33,S-E-PAM,-24.87663936,-52.21551153
34,S-E-PAU,-24.16388547,-53.38246825
35,S-E-PFR,-27.49482811,-52.72846821
36,S-E-PLM,-27.645662,-53.35249
37,S-E-RBA,-22.296389,-49.151944
38,S-E-RBT,-22.90457107,-54.51670544
39,S-E-RCA,-26.14756611,-50.4956788
40,S-E-RCH,-27.19874817,-52.65183219
41,S-E-ROC,-28.800805,-49.953066
42,S-E-RPF,-27.485,-52.718056
43,S-E-RTB,-22.75694445,-54.70277778
44,S-E-RUM,-20.67965,-53.573833
45,S-E-RVE,-23.79254817,-54.26989377
46,S-E-RXA,-26.90241538,-52.46103362
47,S-E-SEDE,-27.60679612,-48.52145543
48,S-E-SERT,-27.60266078,-48.67971312
49,S-E-SJO,-24.23263983,-52.46051071
50,S-E-SLO,-26.34947377,-52.84247141
51,S-E-SLU,-23.511264,-51.236985
52,S-E-SSR,-25.63149363,-52.61551392
53,S-E-UNI,-23.28471218,-54.23788847
54,S-E-VNI,-23.97103287,-53.85499308
55,S-E-VTC,-25.62958605,-52.6141002
56,S-S-ABT,-27.57084,-51.071
57,S-S-ALE,-29.783823818,-55.770806577
58,S-S-ANA,-20.567559419,-55.841372742
59,S-S-ARE,-25.968692309,-51.601387406
60,S-S-ASS,-22.66763,-50.35164
61,S-S-ATL2,-29.782440264,-50.054474911
62,S-S-BIG,-27.48463231,-48.732480656
63,S-S-BLU,-26.782302638,-49.079609747
64,S-S-CAM3,-30.809271544,-51.80981855
65,S-S-CAN,-26.197245089,-50.402908174
66,S-S-CAX,-29.277217131,-51.20111855
67,S-S-CBA,-25.594518326,-49.319381424
68,S-S-CCH,-30.814314916,-55.705623141
69,S-S-CGR,-20.471755691,-54.528476325
70,S-S-CHA,-29.951889891,-51.622441965
71,S-S-CMO,-24.074454014,-52.367576025
72,S-S-CNO,-27.53946356,-51.417158413
73,S-S-CTA,-31.571286117,-53.689025528
74,S-S-CUR,-29.805553029,-57.005200658
75,S-S-CVO,-25.02867,-53.53314
76,S-S-DOS,-22.20386,-54.99406
77,S-S-DOU,-22.268363998,-54.992108182
78,S-S-DRO,-27.670468178,-48.514055782
79,S-S-FAR,-29.220421371,-51.324325999
80,S-S-FCO,-27.139301292,-53.053058192
81,S-S-FHA,-28.74709,-49.52394
82,S-S-GAR1,-29.23936,-51.5125
83,S-S-GAS2,-26.87424,-49.02148
84,S-S-GRA,-29.881811512,-51.063243334
85,S-S-GRT,-27.613098,-53.570707
86,S-S-GUA,-24.10288,-54.22622
87,S-S-GUI,-24.10288,-54.22622
88,S-S-GUO,-25.43111,-51.59772
89,S-S-IJU2,-28.363782248,-53.903862357
90,S-S-IRN,-25.36855,-50.66506
91,S-S-ITA,-26.909729847,-48.821676035
92,S-S-ITJ,-26.973225629,-48.78140565
93,S-S-ITR,-27.709691232,-50.555374131
94,S-S-IVI2,-22.41787,-53.575
95,S-S-IVP,-24.431124882,-51.677100588
96,S-S-JLA,-28.450648644,-48.969915087
97,S-S-JLB,-28.455991634,-48.970700546
98,S-S-JNO,-26.25167873,-48.90113427
99,S-S-JOI,-26.291545344,-48.887651795
100,S-S-LGR,-28.990476138,-50.557329308
101,S-S-LIV2,-30.86267,-55.54296
102,S-S-LIV3,-30.78643,-55.75445
103,S-S-LNA,-23.27589,-51.23777
104,S-S-LNS,-23.37978,-51.25692
105,S-S-LON,-23.463187661,-51.140992298
106,S-S-MBR,-29.15082,-56.06741
107,S-S-MCH,-27.527550055605,-51.78910964597365
108,S-S-MCL,-29.013285593,-51.535671781
109,S-S-MIM,-20.677287916,-53.568021692
110,S-S-MIS,-28.388324699,-54.932683913
111,S-S-MRO2,-33.13968437703576,-52.98995061946913
112,S-S-NAN,-22.25599,-53.33715
113,S-S-NPE2,-29.352424606,-51.005563057
114,S-S-NPR2,-28.80619,-51.61067
115,S-S-NSR,-29.823153077,-51.335250365
116,S-S-OSO2,-29.89524,-50.31572
117,S-S-PAL,-27.641413214,-48.691223114
118,S-S-PFU,-27.484181329,-52.718611416
119,S-S-PGR,-25.09069,-50.32477
120,S-S-PIN2,-26.822,-53.024
121,S-S-PME,-31.55343,-53.68091
122,S-S-PNO,-31.929188213413077,-52.340093171352684
123,S-S-QUI,-32.07718,-52.26962
124,S-S-RCO,-27.586966987,-48.618855408
125,S-S-ROQ,-28.13157,-55.05772
126,S-S-SCR1,-29.75045,-52.41776
127,S-S-SDI,-23.4444,-51.82377
128,S-S-SEDE,-27.60679612,-48.52145543
129,S-S-SERT,-27.6015,-48.68065
130,S-S-SID,-28.602295194,-49.411049873
131,S-S-SMA3,-29.68155,-53.87625
132,S-S-SOS,-25.539957735,-53.012851087
133,S-S-SPA2,-33.4746491329838,-53.29966791412977
134,S-S-SSA,-25.630573413,-52.622422663
135,S-S-STA,-28.280033636,-54.325990707
136,S-S-TPR2,-28.666878885,-52.864633061
137,S-S-URU5,-29.80811,-57.00433
138,S-S-VIN,-29.17544,-51.47143
139,S-S-VMT,-28.55507,-52.08108
140,S-S-XAN,-26.863425313,-52.393008765
141,S-S-YTA,-27.272514089,-52.406256913
142,S-U-UHBC,-28.114237087,-49.142443728
143,S-U-UHCB,-28.114237087,-49.142443728
144,S-U-UHJB,-27.715618157,-50.6718432
145,S-U-UHPJ,-28.131071762,-55.057943619
146,S-U-UHSD,-20.063551677,-53.176889874
